,city,price,bathrooms,bedrooms,livingArea,homeType,taxAssessedValue,Price/sqft,HasFlooring,HasHeating,HasCooling,HasGarageSpace,HasLaundary,HasFirePlace,HasPool,Employment,Schools,Crime
0,Alameda,898000,1,2,1000,SINGLE_FAMILY,635315,898,Yes,Yes,Yes,Yes,Yes,Yes,Yes,B,B,D+
1,Alameda,998000,2,3,1834,SINGLE_FAMILY,404790,544.1657579,Yes,Yes,Yes,Yes,Yes,Yes,Yes,B,B,D+
2,Alameda,639000,2,2,1043,CONDO,438482,612.6558006,Yes,Yes,Yes,Yes,Yes,Yes,Yes,B,B,D+
3,Alameda,1198800,3,3,1622,SINGLE_FAMILY,923895,739.0875462,Yes,Yes,Yes,Yes,Yes,Yes,Yes,B,B,D+
4,Alameda,778990,2,1,1000,TOWNHOUSE,,778.99,No,No,No,Yes,No,Yes,No,B,B,D+
5,Alameda,1095000,2,3,1193,SINGLE_FAMILY,1089690,917.8541492,Yes,Yes,Yes,Yes,Yes,Yes,Yes,B,B,D+
6,Alameda,684888,2,2,962,CONDO,304074,711.9417879,Yes,Yes,Yes,Yes,Yes,Yes,Yes,B,B,D+
7,Alameda,749000,1,2,762,SINGLE_FAMILY,69307,982.9396325,Yes,Yes,Yes,Yes,Yes,Yes,Yes,B,B,D+
8,Alameda,795000,2,3,1382,TOWNHOUSE,640994,575.2532562,Yes,Yes,Yes,Yes,Yes,Yes,Yes,B,B,D+
9,Alameda,449000,1,1,773,CONDO,61067,580.8538163,Yes,Yes,Yes,Yes,Yes,Yes,Yes,B,B,D+
10,Alameda,1200990,3,2,1714,CONDO,,700.6942824,No,No,No,Yes,No,Yes,No,B,B,D+
11,Alameda,820990,2,2,1066,TOWNHOUSE,,770.1594747,No,No,No,Yes,No,Yes,No,B,B,D+
12,Alameda,1075990,2,2,1553,CONDO,,692.8461043,No,No,No,Yes,No,Yes,No,B,B,D+
13,Alameda,860990,2,2,1138,TOWNHOUSE,,756.5817223,No,No,No,Yes,No,Yes,No,B,B,D+
14,Alameda,1916948,4,4,2576,SINGLE_FAMILY,,744.1568323,No,No,No,Yes,No,Yes,No,B,B,D+
15,Alameda,1888000,2,3,2032,SINGLE_FAMILY,623664,929.1338583,Yes,Yes,Yes,Yes,Yes,Yes,Yes,B,B,D+
16,Alameda,1388800,3,3,2526,MULTI_FAMILY,1246737,549.8020586,Yes,Yes,Yes,Yes,No,Yes,No,B,B,D+
17,Alameda,525000,1,1,420,SINGLE_FAMILY,70909,1250,Yes,Yes,Yes,Yes,Yes,Yes,Yes,B,B,D+
18,Alameda,949000,2,2,1443,CONDO,740569,657.6576577,Yes,Yes,Yes,Yes,Yes,Yes,Yes,B,B,D+
19,Alameda,1025990,3,2,1298,CONDO,,790.4391371,No,No,No,Yes,No,Yes,No,B,B,D+
20,Alameda,845990,2,2,1102,TOWNHOUSE,,767.6860254,No,No,No,Yes,No,Yes,No,B,B,D+
21,Alameda,975990,2,3,1454,CONDO,,671.2448418,No,No,No,Yes,No,Yes,No,B,B,D+
22,Alameda,1380000,3,3,1926,SINGLE_FAMILY,1165697,716.5109034,Yes,Yes,Yes,Yes,Yes,Yes,Yes,B,B,D+
23,Alameda,1299990,3,3,1997,CONDO,,650.9714572,No,No,No,Yes,No,Yes,No,B,B,D+
24,Alameda,877990,2,2,1305,CONDO,,672.789272,No,No,No,Yes,No,Yes,No,B,B,D+
25,Alameda,898000,2,2,1118,SINGLE_FAMILY,61687,803.2200358,Yes,Yes,Yes,Yes,Yes,Yes,Yes,B,B,D+
26,Alameda,1020000,3,3,1639,TOWNHOUSE,630527,622.3306894,Yes,Yes,Yes,Yes,Yes,Yes,Yes,B,B,D+
27,Alameda,1104990,3,2,1551,CONDO,,712.4371373,No,No,No,Yes,No,Yes,No,B,B,D+
28,Alameda,1695000,3,4,2500,SINGLE_FAMILY,1074261,678,Yes,Yes,Yes,Yes,Yes,Yes,Yes,B,B,D+
29,Alameda,995000,1,2,1219,SINGLE_FAMILY,693071,816.242822,Yes,Yes,Yes,Yes,Yes,Yes,Yes,B,B,D+
30,Alameda,895000,3,2,1720,CONDO,826200,520.3488372,Yes,Yes,Yes,Yes,Yes,Yes,Yes,B,B,D+
31,Alameda,995000,2,2,1434,MULTI_FAMILY,919773,693.8633194,Yes,Yes,Yes,Yes,Yes,Yes,No,B,B,D+
32,Alameda,995000,2,2,1147,SINGLE_FAMILY,687724,867.4803836,Yes,Yes,Yes,Yes,Yes,Yes,No,B,B,D+
33,Alameda,915990,0,2,1344,CONDO,,681.5401786,No,No,No,Yes,No,Yes,No,B,B,D+
34,Alameda,1525000,2,3,1525,SINGLE_FAMILY,1026260,1000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,B,B,D+
35,Alameda,891000,3,4,1628,TOWNHOUSE,498363,547.2972973,Yes,Yes,Yes,Yes,Yes,Yes,Yes,B,B,D+
36,Alameda,1495000,3,3,2030,SINGLE_FAMILY,1054128,736.453202,Yes,Yes,Yes,Yes,Yes,Yes,Yes,B,B,D+
37,Alameda,1495000,2,6,2112,MULTI_FAMILY,1085688,707.8598485,Yes,Yes,Yes,Yes,Yes,Yes,No,B,B,D+
38,Alameda,1325000,5,8,3388,MULTI_FAMILY,251098,391.0861865,Yes,Yes,Yes,Yes,No,Yes,No,B,B,D+
39,Alamo,2390000,3,4,3020,SINGLE_FAMILY,2144402,791.3907285,Yes,Yes,Yes,Yes,Yes,Yes,Yes,A+,A+,A
40,Alamo,1899000,3,4,2352,SINGLE_FAMILY,186719,807.3979592,Yes,Yes,Yes,Yes,Yes,Yes,Yes,A+,A+,A
41,Alamo,2295000,3,5,3200,SINGLE_FAMILY,665982,717.1875,Yes,Yes,Yes,Yes,Yes,Yes,Yes,A+,A+,A
42,Alamo,3198000,4,4,3814,SINGLE_FAMILY,1805333,838.4897745,Yes,Yes,Yes,Yes,Yes,Yes,Yes,A+,A+,A
43,Alamo,1899999,1,3,1407,SINGLE_FAMILY,1283055,1350.390192,Yes,Yes,Yes,Yes,Yes,Yes,Yes,A+,A+,A
44,Alamo,950000,2,2,1303,TOWNHOUSE,320698,729.0867229,Yes,Yes,Yes,Yes,Yes,Yes,Yes,A+,A+,A
45,Alamo,3995000,5,4,4496,SINGLE_FAMILY,1600000,888.5676157,Yes,Yes,Yes,Yes,Yes,Yes,Yes,A+,A+,A
46,Alamo,2398888,3,4,2478,SINGLE_FAMILY,137082,968.0742534,Yes,Yes,Yes,Yes,Yes,Yes,Yes,A+,A+,A
47,Alamo,2649000,3,4,2260,SINGLE_FAMILY,696210,1172.123894,Yes,Yes,Yes,Yes,Yes,Yes,Yes,A+,A+,A
48,Alamo,2450000,3,5,3076,SINGLE_FAMILY,820474,796.4889467,Yes,Yes,Yes,Yes,Yes,Yes,Yes,A+,A+,A
49,Alamo,2998000,3,4,2953,SINGLE_FAMILY,1437283,1015.23874,Yes,Yes,Yes,Yes,Yes,Yes,Yes,A+,A+,A
50,Alamo,3999999,5,5,5769,SINGLE_FAMILY,3000000,693.3608944,Yes,Yes,Yes,Yes,Yes,Yes,Yes,A+,A+,A
51,Alamo,4295000,6,5,6130,SINGLE_FAMILY,3452399,700.6525285,Yes,Yes,Yes,Yes,Yes,Yes,Yes,A+,A+,A
52,Alamo,2495000,2,3,1418,SINGLE_FAMILY,1800000,1759.520451,Yes,Yes,Yes,Yes,Yes,Yes,Yes,A+,A+,A
53,Alamo,3799000,5,4,3196,SINGLE_FAMILY,2968200,1188.673342,Yes,Yes,Yes,Yes,Yes,Yes,Yes,A+,A+,A
54,Alamo,2848000,3,5,3244,SINGLE_FAMILY,870488,877.9284834,Yes,Yes,Yes,Yes,Yes,Yes,Yes,A+,A+,A
55,Alamo,7850000,7,6,9250,SINGLE_FAMILY,2827447,848.6486486,Yes,Yes,Yes,Yes,Yes,Yes,Yes,A+,A+,A
56,Alamo,1100000,3,3,1889,TOWNHOUSE,644162,582.3186871,Yes,Yes,Yes,Yes,Yes,Yes,Yes,A+,A+,A
57,Alamo,875000,2,2,1357,CONDO,492619,644.8047163,Yes,Yes,Yes,Yes,Yes,Yes,Yes,A+,A+,A
58,Alamo,3547999,5,3,3465,SINGLE_FAMILY,1819369,1023.953535,Yes,Yes,Yes,Yes,Yes,Yes,Yes,A+,A+,A
59,Alamo,2988000,3,4,4101,SINGLE_FAMILY,1009031,728.6027798,Yes,Yes,Yes,Yes,Yes,Yes,Yes,A+,A+,A
60,Alamo,3288000,6,5,5323,SINGLE_FAMILY,2209163,617.6967875,Yes,Yes,Yes,Yes,Yes,Yes,Yes,A+,A+,A
61,Alamo,3900000,5,5,6240,SINGLE_FAMILY,3007523,625,Yes,Yes,Yes,Yes,Yes,Yes,Yes,A+,A+,A
62,Alamo,2998000,4,4,3908,SINGLE_FAMILY,1928911,767.1443193,Yes,Yes,Yes,Yes,Yes,Yes,Yes,A+,A+,A
63,Alamo,1618000,2,4,1663,SINGLE_FAMILY,622764,972.940469,Yes,Yes,No,Yes,No,Yes,Yes,A+,A+,A
64,Alamo,3749000,5,6,4160,SINGLE_FAMILY,2485000,901.2019231,Yes,Yes,Yes,Yes,Yes,Yes,Yes,A+,A+,A
65,Belmont,3000000,3,4,2220,SINGLE_FAMILY,3525000,1351.351351,Yes,Yes,Yes,Yes,Yes,Yes,No,A,A,B+
66,Belmont,1595000,2,3,1280,SINGLE_FAMILY,114085,1246.09375,No,Yes,Yes,Yes,Yes,Yes,No,A,A,B+
67,Belmont,1998000,2,3,1450,SINGLE_FAMILY,753948,1377.931034,Yes,Yes,Yes,Yes,Yes,Yes,No,A,A,B+
68,Belmont,1388000,3,3,1590,TOWNHOUSE,1447470,872.9559748,Yes,Yes,Yes,Yes,Yes,Yes,Yes,A,A,B+
69,Belmont,2088000,2,3,2280,SINGLE_FAMILY,1083810,915.7894737,Yes,Yes,Yes,Yes,Yes,Yes,No,A,A,B+
70,Belmont,2488000,3,6,2240,SINGLE_FAMILY,238475,1110.714286,Yes,Yes,Yes,Yes,Yes,Yes,No,A,A,B+
71,Belmont,3480000,3,4,2500,SINGLE_FAMILY,1445184,1392,Yes,Yes,Yes,Yes,No,Yes,No,A,A,B+
72,Belmont,2398000,2,4,2220,SINGLE_FAMILY,134194,1080.18018,Yes,Yes,Yes,Yes,Yes,Yes,No,A,A,B+
73,Belmont,2698828,3,5,2410,SINGLE_FAMILY,193713,1119.845643,Yes,Yes,Yes,Yes,No,Yes,No,A,A,B+
74,Belmont,2588000,4,3,2490,SINGLE_FAMILY,564238,1039.35743,Yes,Yes,Yes,Yes,Yes,Yes,No,A,A,B+
75,Belmont,2898000,2,4,2220,SINGLE_FAMILY,250700,1305.405405,Yes,Yes,Yes,Yes,Yes,Yes,No,A,A,B+
76,Belmont,899000,2,2,1056,CONDO,303875,851.3257576,Yes,Yes,Yes,Yes,Yes,Yes,Yes,A,A,B+
77,Belmont,3895000,3,4,2220,SINGLE_FAMILY,1034092,1754.504505,Yes,Yes,Yes,Yes,Yes,Yes,No,A,A,B+
78,Belmont,1748888,1,3,1190,SINGLE_FAMILY,881358,1469.653782,Yes,Yes,Yes,Yes,Yes,Yes,No,A,A,B+
79,Belmont,2975000,4,4,2680,SINGLE_FAMILY,1372980,1110.074627,Yes,Yes,Yes,Yes,Yes,Yes,Yes,A,A,B+
80,Belmont,2188000,3,3,2110,SINGLE_FAMILY,1003498,1036.966825,Yes,Yes,Yes,Yes,Yes,Yes,Yes,A,A,B+
