,S.no,zpid,streetAddress,zipcode,city,state,latitude,longitude,price,bathrooms,bedrooms,livingArea,homeType,daysOnZillow,zestimate,rentZestimate,taxAssessedValue,lotAreaValue,lotAreaUnit,Bedrooms,Bathrooms,Full_bathrooms,Flooring,Heating_features,Cooling_features,Appliances_included,Laundry_features,Total_structure_area,Total_interior_livable_area,Fireplace_features,Parking_features,Stories,Pool_features,Lot_features,Home_type,Architectural_style,Property_subType,Roof,Year_built,Sewer_information,Water_information,Region,Interior_features,Total_number_of_fireplaces,Total_spaces,Garage_spaces,Covered_spaces,Livability,Crime,Employment,Housing,Schools
0,1,24858229,2828 Encinal Ave,94501,Alameda,CA,37.75829,-122.23754,898000,1,2,1000,SINGLE_FAMILY,-1,957800,3428,635315,2613.6,sqft,2,1,1," Tile, Wood", Forced Air, Central Air," Dishwasher, Gas Range, Refrigerator", Hookups Only,1000," 1,000 sqft", None, None,1, None, Level, SingleFamily, Victorian, Single Family Residence, Shingle,1900, Public Sewer, Public, Alameda,,,,,,74,D+,B,B-,B
1,2,24858601,1220 Broadway,94501,Alameda,CA,37.759453,-122.24122,998000,2,3,1834,SINGLE_FAMILY,-1,1352000,4500,404790,4356,sqft,3,2,2," Tile, Wood", Forced Air, None," Dishwasher, Gas Range, Refrigerator, Dryer, Washer"," Dryer, Washer, In Unit",1834," 1,834 sqft"," Brick, Family Room, Wood Burning", Attached,2, None," Regular, Front Yard", SingleFamily, Colonial, Single Family Residence, Shingle,1910, Public Sewer, Public, Alameda, Counter - Solid Surface,1,2,1,1,74,D+,B,B-,B
2,3,24869286,960 Shorepoint Ct APT 309,94501,Alameda,CA,37.76256,-122.26949,639000,2,2,1043,CONDO,-1,629300,3063,438482,3.07,acres,2,2,2," Laminate, Carpet", Wall Furnace, None," Dishwasher, Electric Range, Disposal, Range, Refrigerator, Self Cleaning Oven"," Community Facility, Coin Operated",1043," 1,043 sqft", None," Attached, Int Access From Garage, Secured, Assigned, Space Per Unit - 1, Underground, Guest",1," In Ground, Community, Outdoor Pool"," Cul-De-Sac, Pool Site, Security Gate", Condo, Contemporary, Condominium,,1972,, Public, Alameda," Elevator, Laminate Counters",,1,1,1,74,D+,B,B-,B
3,4,24873242,1 Barker Ct,94501,Alameda,CA,37.7814,-122.27438,1198800,3,3,1622,SINGLE_FAMILY,-1,1218100,4288,923895,2613.6,sqft,3,3,2," Tile, Vinyl, Carpet", Zoned, Zoned," Dishwasher, Disposal, Gas Range, Refrigerator, Dryer, Washer, Tankless Water Heater"," Dryer, Laundry Room, Washer, Cabinets",1622," 1,622 sqft"," Family Room, Gas"," Attached, Int Access From Garage, Garage Faces Side, Garage Door Opener",2, None," Court, Level", SingleFamily, Contemporary, Single Family Residence, Shingle,1998, Public Sewer, Public, Alameda," Dining Area, Kitchen/Family Combo, Stone Counters, Pantry, Updated Kitchen",1,2,2,2,74,D+,B,B-,B
4,5,2071614819,"Plan 1 Plan, Lookout at Bay37",94501,Alameda,CA,37.78971,-122.27929,778990,2,1,1000,TOWNHOUSE,-1,778990,2900,,0,,1,2,1,,,,,,1000," 1,000 sqft",,,,,, Townhouse,,,,,,, Alameda,,,1,,,74,D+,B,B-,B
5,6,24856496,1204 Court St,94501,Alameda,CA,37.75623,-122.23652,1095000,2,3,1193,SINGLE_FAMILY,-1,1244500,3499,1089690,3920.4,sqft,3,2,2," Hardwood, Laminate, Tile", Forced Air, Whole House Fan," Dishwasher, Gas Range, Refrigerator, Dryer, Washer, Tankless Water Heater, ENERGY STAR Qualified Appliances"," Dryer, Gas Dryer Hookup, Washer",1193," 1,193 sqft"," Brick, Living Room, Wood Burning", Off Street,1, None, 2 Houses / 1 Lot, SingleFamily, Bungalow, Single Family Residence, Shingle,1918, Public Sewer, Public, Alameda," Counter - Solid Surface, Updated Kitchen",1,,,,74,D+,B,B-,B
6,7,24859854,2205 San Antonio Ave APT F,94501,Alameda,CA,37.76365,-122.24819,684888,2,2,962,CONDO,-1,616500,2963,304074,7405.2,sqft,2,2,1," Laminate, Tile", Electric, None," Dishwasher, Electric Range, Disposal, Free-Standing Range, Refrigerator", Community Facility,962, 962 sqft, None," Covered, Below Building Parking, Garage Door Opener",2, None, Other, Condo, Contemporary, Condominium, Shingle,1975, Public Sewer, Public, Alameda," Breakfast Bar, Laminate Counters, Updated Kitchen",,1,1,1,74,D+,B,B-,B
7,8,24861669,1598 Buena Vista Ave,94501,Alameda,CA,37.77517,-122.256096,749000,1,2,762,SINGLE_FAMILY,-1,809600,2645,69307,2178,sqft,2,1,1, Wood, Floor Furnace, None," Dishwasher, Refrigerator, Dryer, Washer, Tankless Water Heater"," Dryer, Washer",762, 762 sqft, Living Room, Detached,1, None, Corner Lot, SingleFamily, Craftsman, Single Family Residence,,1923, Public Sewer, Public, Alameda," Eat-in Kitchen, Updated Kitchen",1,1,1,1,74,D+,B,B-,B
8,9,24866981,1036 Melrose Ave,94502,Alameda,CA,37.73246,-122.23515,795000,2,3,1382,TOWNHOUSE,-1,879700,3693,640994,1742.4,sqft,3,2,1," Laminate, Vinyl, Carpet", Forced Air, None," Dishwasher, Water Filter System"," 220 Volt Outlet, Dryer, Washer",1382," 1,382 sqft"," Brick, Living Room"," Detached, Garage, Garage Door Opener",2," See Remarks, Community", Regular, Townhouse, Contemporary, Townhouse, Shingle,1974, Public Sewer, Public, Alameda," Breakfast Bar, Tile Counters",1,2,2,2,74,D+,B,B-,B
9,10,24869366,955 Shorepoint Ct APT 200,94501,Alameda,CA,37.762806,-122.26897,449000,1,1,773,CONDO,-1,453000,2355,61067,2.235,acres,1,1,1," Laminate, Carpet", Wall Furnace, None," Electric Range, Refrigerator"," Community Facility, Coin Operated",773, 773 sqft, None, Below Building Parking,1," In Ground, Community", Dead End, Condo, None, Condominium,,1971, Public Sewer, Public, Alameda, Elevator,,1,1,1,74,D+,B,B-,B
